start	end	text
1986547	1987488	I mean, it just doesn't make sense.
1987768	1994216	And also those people can callously fire you whenever they want, which they've proven twice in 48 hours that they can do.
1994777	1995017	Okay.
1995117	1997059	And we've been dancing around this, this whole time.
1997120	2002566	I really think at this point, we should just say who these people are because at the end of the day, three people set all this in motion.
2002766	2005790	Three people have caused open AI to explode from within.
2005810	2007072	So should we just get into that?
2007392	2007892	Yeah, do it.
2008033	2008233	Okay.
2008653	2012296	So OpenAI is very strange in how it's structured.
2012436	2019822	And this is something that people haven't really been paying attention to because we've been so focused on just the success of their products with chat GPT.
2020422	2022604	But OpenAI started as a nonprofit.
2022884	2025587	And so it has this weird structure where there's a non-profit.
2025827	2028050	There's a flow chart, which is like perfect for Dakota.
2028070	2030853	There's a flow chart on OpenAI's website.
2030993	2035319	And I challenge you to look at this flow chart and try to make sense of it.
2035439	2036800	It is one of the most confusing.
2036820	2038202	I just want to be very clear.
2038242	2039223	You can definitely make sense of it.
2039263	2041426	And they've drawn it to be more confusing than it actually is.
2041886	2042166	Okay.
2042466	2043127	That is 100% true.
2043147	2046068	We're going to redraw the flow chart now because it's all different.
2047308	2050309	So there's this nonprofit with this board that controls it.
2050450	2057552	And importantly, the board of open AI does not have equity in open AI, which is a really wild thing.
2057993	2060033	And so that's the context of the board.
2060093	2063095	There's three of them really that aren't open AI people.
2063255	2066496	So one of them is Adam D'Angelo, who is the CEO of Quora.
2066576	2070918	He operates, I should note, a competing AI chatbot platform called Poe.
2071378	2073199	He was the original CTO of Facebook.
2073239	2075660	He's a known quantity in Silicon Valley.
2075700	2077241	He's a really well-connected guy.
2077721	2082143	There's a woman named Helen Toner who has ties to the effective autism movement.
2082203	2083924	She used to work at Open Philanthropy.
2084304	2085444	She's now at Georgetown.
2085524	2087485	She funds AI safety stuff.
2087585	2092648	She was actually on our stage at Code in September with Casey Newton talking about AI safety.
2093328	2098630	And then the other one is a woman named Tasha McCauley, who is the former CEO of GeoSim Systems.
2098670	2099491	And as far as I can tell,
2100251	2102932	basically no one in tech that I know knows who she is.
2103012	2109575	Okay, so that's the three people, and they are the ones who basically decide to bring Emma in.
2109915	2120419	Because as we find out in the next turn of the story, the guy that we thought was the architect, the mastermind of all of this, flipped, which we can get into.
2121058	2122819	Yeah, so, and it's a weird choice.
2123319	2124180	And it's a weird choice.
2124280	2130423	And also, openly, a decelerationist, which is a phrase that the AI community loves to use.
2130443	2133605	Like, there's videos of him being like, this is terrifying.
2134046	2135066	We should slow it down.
2135366	2139469	This will extinguish all value in the cone of light, which is a real thing he says.
2139709	2140029	Wow.
2140269	2140949	It's amazing.
2141310	2148054	And his point of view is we should slow AI innovation way down so we can get a handle on how dangerous it is.
2149034	2150336	So you can see where the board is, right?
2150356	2152739	This is the split that we've been hearing about the entire time.
2153200	2157847	Open eyes playing with dangerous toys and Sam is running too fast.
2158187	2161351	So we've brought an Emmett shear to slow this whole thing way down.
2161792	2162593	Yeah, I think that's right.
2162733	2165657	And then on the flip side, very early this morning,
2166258	2180122	Neil, I think to your point correctly, to get something out before the stock markets opened, Microsoft announces it has hired Sam Altman and Greg Brockman to run, I believe the phrase is an AI research lab.
2180342	2182462	An advanced AI research team is their statement.
2182762	2185323	And can I just read the statement from Sacha Nadella?
2185663	2186063	Please do.
2186263	2188604	Which just contains magnitudes.
2189344	2197446	We remain committed to our partnership with OpenAI, of confidence in our product roadmap, our ability to continue to innovate with everything we've announced at Microsoft Ignite, and in continuous support of customers and partners.
2197826	2204508	We look forward to getting to know Emmett Shearer, and OAI's new leadership team, and working with them.
2205068	2209049	And we are extremely excited to share the news at Sam Altman and Greg Rockman.
2209089	2213690	Together with colleagues, we'll be joining Microsoft to lead a new advanced AI research team.
2214010	2217731	We look forward to moving quickly to provide them with the resources needed for their success.
2218311	2220553	In the journalism business, we call that bearing the lead.
2222294	2231962	And importantly, Sam Altman is being given the title of CEO at Microsoft, which is inside Microsoft's corporate politics, like a big deal, right?
2231982	2233783	There are not a lot of CEOs at Microsoft.
2234103	2236065	Usually when they acquire a big company,
2236505	2243147	They give those people the CEO title, so the person who leads LinkedIn as a CEO title, the person who leads GitHub as a CEO title.
2243527	2246808	Phil Spencer is now the CEO of Microsoft Gaming.
2247268	2248188	That's a big deal.
2248208	2254210	You can go listen to that Decoder episode where I ask him what that title shift means, and it basically means he has his own resources.
2255030	2257591	He's split off from Microsoft, your own P&L.
2257651	2260612	Well, I was even listening to that episode.
2261368	2269273	It basically means you have your own resources and you are more of a free agent to run your little division like it's own little company.
2269313	2271054	So this is the arrangement Sam is getting.
2271514	2276217	What I will tell you is I read this statement, especially that we look forward to getting to know Emma Cheer.
2276717	2277198	They don't know.
2277258	2278098	They don't know these people.
2278118	2279779	They don't know what's going to happen with OpenAI.
2279799	2280840	They don't know if Emma's going to turn
2281300	2290725	the pace of innovation way down, but they are able to tell the market, hey, the face of the AI winning that we've been doing as Microsoft now works at Microsoft.
2291105	2293486	Does Sam Altman have a contract to work at Microsoft yet?
2293546	2294927	Like, I don't know the answer to that question.
2295407	2309414	Does Sam Altman, the guy used to run Y Combinator who has his hands in every startup in the universe, has multiple investment funds, thinks of himself as the guy who was running the hottest AI startup in the world on its way to making AGI,
2310194	2312215	Does he want to be a Microsoft employee?
2312235	2315437	I truly do not know the answer to that question.
2315837	2322801	I do know that this statement utterly worked to not only calm the market, but to send Microsoft stocks skyrocketing.
2323381	2328544	And we are now sitting here saying, do we need to pre-write Microsoft is now a $3 trillion company?
2329024	2332286	Because the stock as we are speaking is like to the moon.
2333206	2334350	So this statement worked.
2334531	2336396	I'm just cautioning everyone.
2337078	2339385	This, in my view, is a holding statement.
2339445	2340850	It's still a holding statement.
2341124	2351091	Well, I think knowing what we know about Sunday, knowing that Microsoft really wanted to have this buttoned up by markets open, this was decided like, it was like almost like 1 a.m.
2351151	2351611	Pacific.
2351871	2352612	Yeah, I was asleep.
2352892	2354733	Like, straight up, I was like, I'm done now.
2354953	2357815	I'm thinking that, like, okay, surely nothing more is to come.
2357955	2363179	And then, like, around one, Adele tweets this, and luckily Tom Warren is waking up in London and gets it on the site.
2363639	2363979	It's nuts.
2364159	2369243	But I think there's an important thing here, which is we know that Microsoft wanted to get this done.
2370103	2376147	I have to imagine that whatever got Sam and Greg to agree to go to Microsoft was a lot.
2376608	2380991	I imagine they had all the leverage in that situation because they'll just go do their own thing, right?
2381031	2382092	Like we've all been saying.
2382672	2391438	Microsoft cannot make it look like the company that they have literally bet their AI Azure future on is imploding before their very eyes.
2392720	2399931	I have to imagine this is going to go down as one of the best packages ever from a big tech company to a team to come
